ID,大項目,中項目,小項目,担当正,担当副,開始日,終了日,状態,マイルストーン,先行ID,進捗メモ,備考
S-01,0.マイルストーン,大日程,顧客交渉・条件合意,[営業],[静東],2026-06-01,2026-06-30,完了,,,6/28 佐藤部長と合意,
S-02,0.マイルストーン,大日程,Phg報告・社内承認,[SS3],[営業],2026-07-01,2026-07-14,完了,,S-01,[中部]承認済,
S-03,0.マイルストーン,大日程,契約締結,[SS3],[営業],2026-08-01,2026-08-31,未着手,○,S-02,,
S-04,0.マイルストーン,大日程,移管完了,[静東],支援者,2026-11-16,2026-11-20,未着手,○,S-13,,
S-05,0.マイルストーン,大日程,稼働開始(浜松63店舗),全員,支援者,2026-12-01,2026-12-01,未着手,○,S-04,,
S-06,1.作業設計,現状調査,既存拠点の視察・現状作業の洗い出し,[中営開],[静東],2026-07-06,2026-07-24,着手,,,7/10 第1回視察済。第2回調整中,複数回に分散
S-07,1.作業設計,現状調査,運用確認・業務フロー確定,[中営開],[静東],2026-07-13,2026-08-28,着手,,S-06,8月末: 業務フロー作成,
S-08,1.作業設計,設備,設備シミュレーション・台数検討,[西事企],[静東],2026-06-22,2026-07-10,着手,,,シミュ結果とりまとめ中(9/30提示予定),1台4段+パターンα
S-09,1.作業設計,設備,移管後レイアウト確定,[西事企],[静東],2026-07-20,2026-08-21,未着手,,S-08,,
S-10,2.準備,設備,設備の社内決裁・発注,[西事企],[静東],2026-09-01,2026-09-18,未着手,,S-09,,
S-11,2.準備,人員,稼働準備(採用・シフト設計),[静東],-,2026-09-01,2026-10-30,未着手,,,,パート10名程度
S-12,2.準備,環境,環境整備(什器・動線・保管区画),[静東],支援者,2026-10-01,2026-10-30,未着手,,S-10,,
S-13,3.教育・移管,教育,事前研修 STEP1: 管理者・責任者,[静東],[営業],2026-09-14,2026-09-25,未着手,,S-07,,4名程度
S-14,3.教育・移管,教育,事前研修 STEP2: 現場キーマン実地教育,[静東],[営業],2026-10-05,2026-10-23,未着手,,S-13,,1〜2名
S-15,3.教育・移管,教育,事前研修 STEP3: 新規採用者実地教育,[静東],[営業],2026-11-02,2026-11-13,未着手,,S-11,,10名程度
S-16,3.教育・移管,移管,運用テスト・トレーニング,[静東],[営業],2026-11-02,2026-11-13,未着手,,S-12,,
S-17,3.教育・移管,移管,事前入庫・本移管,全員,支援者,2026-11-16,2026-11-27,未着手,,S-16,,
S-18,1.作業設計,現状調査,顧客要件ヒアリング一覧の整備,[静東],[営業],2026-06-15,2026-07-10,着手,,,店舗別要件の回収が2社残,遅延デモ用の例
